,Name of movie,Year of relase,Watchtime,Movie Rating,Metascore,Votes,Gross collection,Description,Director,Star
1,Mortdecai,2015,107,5.5,27,"74,060",$7.61M,"Juggling angry Russians, the British Mi5, and an international terrorist, debonair art dealer and part-time rogue Charlie Mortdecai races to recover a stolen painting rumored to contain a code that leads to lost gold.",David Koepp,"['Johnny Depp', 'Gwyneth Paltrow', 'Ewan McGregor', 'Olivia Munn']"
2,All the Boys Love Mandy Lane,2006,90,5.5,44,"33,702",*****,"A group of high-schoolers invite Mandy Lane, an innocent, desirable girl, to a weekend party on a secluded ranch. While the festivities rage on, the number of revelers begins to drop mysteriously.",Jonathan Levine,"['Amber Heard', 'Anson Mount', 'Whitney Able', 'Michael Welch']"
3,Once Bitten,1985,94,5.5,64,"15,291",$10.00M,"A vampire Countess needs to drink the blood of a virgin in order to keep her eternal beauty. It seems that all is hopeless, until she bumps into Mark Kendall.",Howard Storm,"['Lauren Hutton', 'Jim Carrey', 'Karen Kopins', 'Cleavon Little']"
4,Rumor Has It...,2005,97,5.5,35,"59,347",$43.00M,"Sarah Huttinger is a woman who learns that her family was the inspiration for the book and film ""The Graduate"" -- and that she just might be the offspring of the well-documented event.",Rob Reiner,"['Jennifer Aniston', 'Mark Ruffalo', 'Shirley MacLaine', 'Kevin Costner']"
5,Gretel & Hansel,2020,87,5.5,64,"31,657",$15.35M,"A long time ago in a distant fairy tale countryside, a young girl leads her little brother into a dark wood in desperate search of food and work, only to stumble upon a nexus of terrifying evil.",Oz Perkins,"['Sophia Lillis', 'Samuel Leakey', 'Alice Krige', 'Jessica De Gouw']"
6,Monster-in-Law,2005,101,5.5,31,"62,798",$82.93M,"The love life of Charlotte is reduced to an endless string of disastrous blind dates, until she meets the perfect man, Kevin. Unfortunately, his merciless mother will do anything to destroy their relationship.",Robert Luketic,"['Jennifer Lopez', 'Michael Vartan', 'Jane Fonda', 'Wanda Sykes']"
7,The Benchwarmers,2006,85,5.5,25,"52,070",$59.84M,A trio of guys try and make up for missed opportunities in childhood by forming a three-player baseball team to compete against standard children's Little League squads.,Dennis Dugan,"['David Spade', 'Jon Heder', 'Rob Schneider', 'Jon Lovitz']"
8,House at the End of the Street,2012,101,5.5,31,"77,986",$31.61M,"After moving with her mother to a small town, a teenager finds that an accident happened in the house at the end of the street. Things get more complicated when she befriends a boy. A double murder is not an accident.",Mark Tonderai,"['Jennifer Lawrence', 'Elisabeth Shue', 'Max Thieriot', 'Gil Bellows']"
9,Hellraiser III: Hell on Earth,1992,97,5.5,50,"32,627",$12.53M,An investigative reporter must send the newly unbound Pinhead and his legions back to Hell.,Anthony Hickox,"['Terry Farrell', 'Doug Bradley', 'Kevin Bernhardt', 'Lawrence Mortorff']"
10,Cherry 2000,1987,99,5.5,59,"10,032",$0.01M,"In 2017, a successful businessman travels to the ends of the earth to find that the perfect woman is always under his nose. He hires a sexy renegade tracker to find an exact duplicate of his android wife.",Steve De Jarnatt,"['Melanie Griffith', 'David Andrews', 'Pamela Gidley', 'Jennifer Balgobin']"
11,The Lizzie McGuire Movie,2003,94,5.5,56,"40,297",$42.73M,"Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true.",Jim Fall,"['Hilary Duff', 'Adam Lamberg', 'Clayton Snyder', 'Hallie Todd']"
12,The Ward,2010,89,5.5,38,"43,297",*****,An institutionalized young woman becomes terrorized by a ghost.,John Carpenter,"['Amber Heard', 'Mamie Gummer', 'Danielle Panabaker', 'Laura-Leigh']"
13,Beastly,2011,86,5.5,40,"78,329",$27.87M,"A modern-day take on the ""Beauty and the Beast"" tale where a New York teen is transformed into a hideous monster in order to find true love.",Daniel Barnz,"['Alex Pettyfer', 'Vanessa Hudgens', 'Mary-Kate Olsen', 'Justin Bradley']"
14,Picture Perfect,1997,101,5.5,44,"20,607",$31.06M,"A young advertising executive's life becomes increasingly complicated when, in order to impress her boss, she pretends to be engaged to a man she has just met.",Glenn Gordon Caron,"['Jennifer Aniston', 'Jay Mohr', 'Kevin Bacon', 'Olympia Dukakis']"
15,The Omen,2006,110,5.5,43,"60,149",$54.61M,An American official realizes that his young son may literally be the Devil incarnate.,John Moore,"['Liev Schreiber', 'Julia Stiles', 'Seamus Davey-Fitzpatrick', 'David Thewlis']"
16,Home Sweet Hell,2015,98,5.5,22,"15,679",*****,"Don Champagne seems to have it all, but when his wife, Mona, learns of his affair with a pretty new salesgirl, she will stop at nothing to maintain their storybook life.",Anthony Burns,"['Katherine Heigl', 'Patrick Wilson', 'Madison Wolfe', 'Aiden Flowers']"
17,Babylon A.D.,2008,90,5.5,26,"96,616",$22.53M,Veteran-turned-mercenary Toorop takes the high-risk job of escorting a woman from Russia to America. Little does he know that she is host to an organism that a cult wants to harvest in order to produce a genetically modified Messiah.,Mathieu Kassovitz,"['Vin Diesel', 'Michelle Yeoh', 'Mélanie Thierry', 'Gérard Depardieu']"
18,Marauders,2016,107,5.5,42,"22,860",*****,"When a bank is hit by a brutal heist, all evidence points to the owner and his high-powered clients. But as a group of FBI agents dig deeper into the case - and the deadly heists continue - it becomes clear that a larger conspiracy is at play.",Steven C. Miller,"['Bruce Willis', 'Christopher Meloni', 'Dave Bautista', 'Adrian Grenier']"
19,When in Rome,2010,91,5.5,25,"63,060",$32.67M,"Beth is a young, ambitious New Yorker who is completely unlucky in love. However, on a whirlwind trip to Rome, she impulsively steals some coins from a reputed fountain of love, and is then aggressively pursued by a band of suitors.",Mark Steven Johnson,"['Kristen Bell', 'Josh Duhamel', 'Anjelica Huston', 'Danny DeVito']"
20,White Noise,I 2005,101,5.5,30,"49,595",$56.39M,An architect's desire to speak with his wife from beyond the grave becomes an obsession with supernatural repercussions.,Geoffrey Sax,"['Michael Keaton', 'Deborah Kara Unger', 'Ian McNeice', 'Chandra West']"
21,Raw Deal,1986,106,5.5,44,"35,236",$16.21M,A former FBI agent turned small-town sheriff agrees to help the FBI chief infiltrate the Chicago mafia when the FBI chief's son is killed by them.,John Irvin,"['Arnold Schwarzenegger', 'Kathryn Harrold', 'Sam Wanamaker', 'Paul Shenar']"
22,The Big Green,1995,100,5.5,^^^^^^,"10,423",$17.73M,"A teacher on exchange from England is placed in an underachieving Texas school, where she coaches the students in soccer, improving their self-esteem and leading to unexpected success.",Holly Goldberg Sloan,"['Steve Guttenberg', ""Olivia d'Abo"", 'Jay O. Sanders', 'John Terry']"
23,Forces of Nature,1999,105,5.5,46,"34,762",$52.89M,A soon-to-be-married man encounters an exciting stranger after his plane suffers an accident on takeoff.,Bronwen Hughes,"['Sandra Bullock', 'Ben Affleck', 'Maura Tierney', 'Steve Zahn']"
24,Whiteout,2009,101,5.5,^^^^^^,"39,377",$10.28M,U.S. Marshal Carrie Stetko tracks a killer in Antarctica as the sun is about to set for six months.,Dominic Sena,"['Kate Beckinsale', 'Gabriel Macht', 'Tom Skerritt', 'Columbus Short']"
25,The Innkeepers,2011,101,5.5,64,"35,926",$0.08M,"During the final days at the Yankee Pedlar Inn, two employees determined to reveal the hotel's haunted past begin to experience disturbing events as old guests check in for a stay.",Ti West,"['Sara Paxton', 'Pat Healy', 'Kelly McGillis', 'Alison Bartlett']"
26,Father Figures,2017,113,5.5,22,"20,195",$17.50M,"Upon learning that their mother has been lying to them for years about their allegedly deceased father, two fraternal twin brothers hit the road in order to find him.",Lawrence Sher,"['Owen Wilson', 'Ed Helms', 'Glenn Close', 'Robert Mello']"
27,Horsemen,2009,90,5.5,^^^^^^,"23,414",*****,A recently widowed detective still grieving over his wife's death discovers a shocking connection between a serial killing spree and the Four Horsemen of the Apocalypse.,Jonas Åkerlund,"['Dennis Quaid', 'Ziyi Zhang', 'Lou Taylor Pucci', 'Clifton Collins Jr.']"
28,Beverly Hills Ninja,1997,88,5.5,27,"42,285",$31.24M,A man tries to rescue a woman with a little help from his half brother.,Dennis Dugan,"['Chris Farley', 'Nicollette Sheridan', 'Robin Shou', 'Nathaniel Parker']"
29,The Girlfriend Experience,2009,77,5.5,66,"16,838",$0.70M,"A drama set in the days leading up to the 2008 Presidential election, and centered on a high-end Manhattan call girl meeting the challenges of her boyfriend, her clients, and her work.",Steven Soderbergh,"['Sasha Grey', 'Chris Santos', 'Philip Eytan', 'Colby Trane']"
30,A Castle for Christmas,2021,98,5.5,53,"13,916",*****,"To escape a scandal, a bestselling author journeys to Scotland, where she falls in love with a castle - and faces off with the grumpy duke who owns it.",Mary Lambert,"['Brooke Shields', 'Cary Elwes', 'Lee Ross', 'Andi Osho']"
31,Deadgirl,2008,101,5.5,36,"19,727",*****,Two high school boys discover an imprisoned woman in an abandoned mental asylum who cannot die.,"Directors:Marcel Sarmiento, Gadi Harel","['Shiloh Fernandez', 'Noah Segan', 'Candice King', 'Eric Podnar']"
32,Action Jackson,1988,96,5.5,36,"11,530",$20.26M,Vengeance drives a tough Detroit cop to stay on the trail of a power-hungry auto magnate who is systematically eliminating his competition.,Craig R. Baxley,"['Carl Weathers', 'Craig T. Nelson', 'Vanity', 'Sharon Stone']"
33,Metro,1997,117,5.5,41,"28,103",$31.99M,A Hostage Negotiator teams up with a Sharpshooter to bring down a dangerous jewel thief.,Thomas Carter,"['Eddie Murphy', 'Michael Rapaport', 'Kim Miyori', 'Art Evans']"
34,My Father the Hero,1994,90,5.5,42,"11,362",$25.48M,A teenage girl on vacation in the Bahamas with her divorced father tries to impress a potential boyfriend by saying that her father is actually her lover.,Steve Miner,"['Gérard Depardieu', 'Katherine Heigl', 'Dalton James', 'Lauren Hutton']"
35,Stolen,2012,96,5.5,43,"45,468",$0.30M,"A former thief frantically searches for his missing daughter, who has been kidnapped and locked in the trunk of a taxi.",Simon West,"['Nicolas Cage', 'Malin Akerman', 'Josh Lucas', 'Danny Huston']"
36,Cop Out,2010,107,5.5,31,"88,808",$44.88M,"Jimmy's rare baseball card is robbed. Since it's his only hope to pay for his daughter's upcoming wedding, he recruits his cop partner Paul to track down the robber, a memorabilia-obsessed gangster.",Kevin Smith,"['Bruce Willis', 'Tracy Morgan', 'Juan Carlos Hernández', 'Cory Fernandez']"
37,Amityville II: The Possession,1982,104,5.5,34,"11,997",$12.53M,"A dysfunctional family moves into a new house, which proves to be satanic, resulting in the demonic possession of their teenage son.",Damiano Damiani,"['James Olson', 'Burt Young', 'Rutanya Alda', 'Jack Magner']"
38,Hell Fest,2018,89,5.5,26,"17,836",$11.11M,"A masked serial killer turns a horror-themed amusement park into his own personal playground, terrorizing a group of friends while the rest of the patrons believe that it is all part of the show.",Gregory Plotkin,"['Cynthea Mercado', 'Stephen Conroy', 'Amy Forsyth', 'Reign Edwards']"
39,Nine Months,1995,103,5.5,47,"37,462",$69.70M,"When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse.",Chris Columbus,"['Hugh Grant', 'Julianne Moore', 'Tom Arnold', 'Joan Cusack']"
40,Stuart Little 2,2002,77,5.5,66,"55,486",$64.96M,Stuart and Snowbell set out across town to rescue a friend.,Rob Minkoff,"['Michael J. Fox', 'Geena Davis', 'Hugh Laurie', 'Jonathan Lipnicki']"
41,Tom and Huck,1995,97,5.5,^^^^^^,"11,119",$23.74M,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,Peter Hewitt,"['Jonathan Taylor Thomas', 'Brad Renfro', 'Charles Rocket', 'Eric Schweig']"
42,Critters 2,1988,86,5.5,48,"15,704",$3.81M,"Eggs of the small but voracious alien creatures called Crites are left behind on earth and, after hatching, set their appetites on the small farm town of Grover's Bend.",Mick Garris,"['Scott Grimes', 'Liane Curtis', 'Terrence Mann', 'Don Keith Opper']"
43,Ek Tha Tiger,2012,132,5.5,^^^^^^,"35,378",$2.35M,India's top spy Tiger and his love Zoya battle the dark world of intelligence and espionage that forbids its soldiers from loving the enemy.,"Directors:Mathur Goswami, Kabir Khan","['Salman Khan', 'Katrina Kaif', 'Girish Karnad', 'Roshan Seth']"
44,The Last Summer,2019,109,5.5,^^^^^^,"13,539",*****,"Standing on the precipice of adulthood, a group of friends navigate new relationships, while reexamining others, during their final summer before college.",William Bindley,"['K.J. Apa', 'Maia Mitchell', 'Norman Johnson Jr.', 'Jacob Latimore']"
45,Maximum Risk,1996,101,5.5,^^^^^^,"22,741",$14.50M,"While seeking answers regarding the death of the twin brother he never knew he had, a French cop and his sibling's fiancée find themselves pursued by corrupt FBI agents and the Russian mafia.",Ringo Lam,"['Jean-Claude Van Damme', 'Natasha Henstridge', 'Jean-Hugues Anglade', 'Zach Grenier']"
46,The Final Conflict,1981,108,5.5,34,"21,011",$20.47M,The now adult Antichrist plots to eliminate his future divine opponent while a cabal of monks plot to stop him.,Graham Baker,"['Sam Neill', 'Rossano Brazzi', 'Don Gordon', 'Lisa Harrow']"
47,Diana,2013,113,5.5,35,"20,493",$0.33M,"During the last two years of her life, Princess Diana embarks on a final rite of passage: a secret love affair with Pakistani heart surgeon Hasnat Khan.",Oliver Hirschbiegel,"['Naomi Watts', 'Naveen Andrews', 'Cas Anvar', 'Charles Edwards']"
48,Don't Be Afraid of the Dark,2010,99,5.5,56,"49,472",$24.04M,A young girl sent to live with her father and his new girlfriend believes that she has released creatures from a sealed ash pit in the basement of her new home.,Troy Nixey,"['Katie Holmes', 'Guy Pearce', 'Bailee Madison', 'Bruce Gleeson']"
49,Because I Said So,2007,102,5.5,26,"39,026",$42.67M,A meddling mother tries to set her daughter up with the right man so her kid won't follow in her footsteps.,Michael Lehmann,"['Diane Keaton', 'Mandy Moore', 'Gabriel Macht', 'Tom Everett Scott']"
0,Shocker,1989,109,5.5,51,"16,789",$16.55M,"After being sent to the electric chair, a serial killer uses electricity to come back from the dead and carry out his vengeance on the football player who turned him in to the police.",Wes Craven,"['Michael Murphy', 'Mitch Pileggi', 'John Tesh', 'Heather Langenkamp']"
1,Red Dot,2021,86,5.5,^^^^^^,"13,813",*****,"When Nadja becomes pregnant, she and David make an attempt to rekindle their relationship by traveling to the north of Sweden for a hiking trip, but soon their romantic trip turns into a nightmare.",Alain Darborg,"['Nanna Blondell', 'Anastasios Soulis', 'Thomas Hanzon', 'Johannes Kuhnke']"
2,Sleepaway Camp II: Unhappy Campers,1988,80,5.5,^^^^^^,"12,273",*****,"Angela, supposedly reformed and living under an assumed surname, is working at a summer camp. However, when the campers start misbehaving, she soon reverts to her old ways.",Michael A. Simpson,"['Pamela Springsteen', 'Renée Estevez', 'Tony Higgins', 'Valerie Hartman']"
3,Breaking In,2018,88,5.5,42,"16,212",$46.38M,A woman fights to protect her family during a home invasion.,James McTeigue,"['Gabrielle Union', 'Billy Burke', 'Richard Cabral', 'Ajiona Alexus']"
4,The Man,2005,83,5.5,33,"26,030",$8.33M,"Special Agent Derrick Vann is a man out to get the man who killed his partner, but a case of mistaken identity leads him to Andy Fiddler, a salesman with too many questions and a knack of getting in Vann's way.",Les Mayfield,"['Samuel L. Jackson', 'Eugene Levy', 'Miguel Ferrer', 'Luke Goss']"
5,6 Years,2015,79,5.5,53,"12,807",*****,"A young couple, bound by a seemingly ideal love, begin to unravel as unexpected opportunities spin them down a volatile and violent path and threaten the future they had always imagined.",Hannah Fidell,"['Taissa Farmiga', 'Ben Rosenfield', 'Lindsay Burdge', 'Joshua Leonard']"
6,Navy Seals,1990,113,5.5,38,"17,168",$25.07M,A battle-hardened SEAL Team set off on a mission to destroy a shipment of US-built Stinger missiles that have fallen into terrorist hands.,Lewis Teague,"['Charlie Sheen', 'Michael Biehn', 'Joanne Whalley', 'Rick Rossovich']"
7,The Last Days on Mars,2013,98,5.5,46,"37,601",$0.02M,A group of astronaut explorers succumb one by one to a mysterious and terrifying force while collecting specimens on Mars.,Ruairi Robinson,"['Liev Schreiber', 'Elias Koteas', 'Romola Garai', 'Olivia Williams']"
8,I.T.,2016,95,5.5,27,"16,321",*****,A millionaire has his life turned upside down after firing his I.T. consultant.,John Moore,"['Pierce Brosnan', 'Jason Barry', 'Karen Moskow', 'Kai Ryssdal']"
9,The Out-of-Towners,1999,90,5.5,33,"14,398",$28.54M,The remake of the 1970 Neil Simon comedy follows the adventures of married couple Henry and Nancy Clark as they are vexed by misfortune while in New York City for a job interview.,Sam Weisman,"['Steve Martin', 'Goldie Hawn', 'John Cleese', 'Mark McKinney']"
10,Whatever It Takes,2000,94,5.5,20,"11,152",$8.74M,A modern-day remake of the Cyrano DeBergerac tale.,David Raynr,"['Shane West', 'Marla Sokoloff', ""Jodi Lyn O'Keefe"", 'Manu Intiraymi']"
11,The Accidental Husband,2008,90,5.5,14,"24,765",*****,"When talk-radio host Emma Lloyd advises one of her listeners to break up with her boyfriend, the jilted ex sets about getting his revenge.",Griffin Dunne,"['Uma Thurman', 'Jeffrey Dean Morgan', 'Justina Machado', 'Colin Firth']"
12,"Welcome Home, Roscoe Jenkins",2008,104,5.5,46,"15,032",$42.44M,"Dr. RJ Stevens is a talk show host who visits his family in the deep south. While there he reunites with his brother Otis, his sister Betty, his cousin/rival Clyde and his childhood love interest Lucinda Allen.",Malcolm D. Lee,"['Martin Lawrence', 'Louis C.K.', 'James Earl Jones', 'Margaret Avery']"
13,Fighting,2009,105,5.5,61,"33,503",$23.04M,"In New York City, a young counterfeiter is introduced to the world of underground street fighting by a seasoned scam artist, who becomes his manager on the bare-knuckling brawling circuit.",Dito Montiel,"['Channing Tatum', 'Terrence Howard', 'Luis Guzmán', 'Zulay Henao']"
14,Valiant,2005,76,5.5,45,"23,364",$19.48M,"At the height of World War II, a tiny wood pigeon enlists in the elite Royal Homing Pigeon Service to serve Britain, as the fearsome General Von Talon (Tim Curry) and his deadly squadron of falcons patrol the English Channel. Is he a war-hero in the making?",Gary Chapman,"['Ewan McGregor', 'Ricky Gervais', 'Tim Curry', 'Jim Broadbent']"
15,Knights of Badassdom,2013,86,5.5,56,"20,861",$0.09M,Live-action role players conjure up a demon from Hell by mistake and they must deal with the consequences.,Joe Lynch,"['Ryan Kwanten', 'Steve Zahn', 'Peter Dinklage', 'Summer Glau']"
16,Joe's Apartment,1996,80,5.5,^^^^^^,"13,634",$4.61M,"A nice guy has just moved to New York and discovers that he must share his run-down apartment with a couple thousand singing, dancing cockroaches.",John Payson,"[""Jerry O'Connell"", 'Megan Ward', 'Billy West', 'Reginald Hudlin']"
17,From Prada to Nada,2011,107,5.5,39,"15,243",$3.02M,"A Latina spin on Jane Austen's ""Sense and Sensibility"": two spoiled sisters who have been left penniless after their father's sudden death are forced to move in with their estranged aunt in East Los Angeles.",Angel Gracia,"['Camilla Belle', 'Alexa PenaVega', 'Kuno Becker', 'Tina French']"
18,Ratchet & Clank,2016,94,5.5,29,"11,225",$8.55M,"When the galaxy comes under the threat of a nefarious space captain, a mechanic and his newfound robot ally join an elite squad of combatants to save the universe.","Directors:Kevin Munroe, Jericca Cleland","['James Arnold Taylor', 'David Kaye', 'Jim Ward', 'Sylvester Stallone']"
19,Unplanned,I 2019,109,5.5,10,"14,146",$18.99M,"All Abby Johnson ever wanted to do was help women. As one of the youngest Planned Parenthood clinic directors in the nation, she believed in a woman's right to choose. Until the day she saw something that changed everything.","Directors:Chuck Konzelman, Cary Solomon","['Ashley Bratcher', 'Brooks Ryan', 'Robia Scott', 'Jared Lotz']"
20,Head of State,2003,95,5.5,44,"20,620",$37.79M,"When a presidential candidate dies unexpectedly in the middle of the campaign, Washington, D.C. alderman Mays Gilliam is unexpectedly picked as his replacement.",Chris Rock,"['Chris Rock', 'Bernie Mac', 'Lynn Whitfield', 'Dylan Baker']"
21,Open Season 2,2008,76,5.5,^^^^^^,"24,739",*****,"After falling head over hooves in love with Giselle, Elliot's road to the altar takes a slight detour when Mr. Weenie is kidnapped by a group of pampered pets determined to return him to his owners.","Directors:Matthew O'Callaghan, Todd Wilderman","['Joel McHale', 'Mike Epps', 'Jane Krakowski', 'Billy Connolly']"
22,Showtime,2002,95,5.5,32,"63,648",$38.08M,"A spoof of buddy cop movies where two very different cops are forced to team up on a new reality based television cop show, while tracking down the manufacturer and distributor of an illegally made semi-automatic firearm.",Tom Dey,"['Robert De Niro', 'Eddie Murphy', 'Rene Russo', 'Rachael Harris']"
23,I Think I Love My Wife,2007,94,5.5,49,"17,204",$12.55M,A married man who daydreams about being with other women finds his will and morals tested after he's visited by the ex-mistress of his old friend.,Chris Rock,"['Chris Rock', 'Kerry Washington', 'Gina Torres', 'Steve Buscemi']"
24,Diary of the Dead,2007,95,5.5,66,"48,076",$0.96M,A group of young film students run into real-life zombies while filming a horror movie of their own.,George A. Romero,"['Michelle Morgan', 'Joshua Close', 'Shawn Roberts', 'Todd Schroeder']"
25,Jane Austen's Mafia!,1998,87,5.5,^^^^^^,"15,584",$19.88M,Takeoff on the Godfather with the son of a mafia king taking over for his dying father,Jim Abrahams,"['Jay Mohr', 'Christina Applegate', 'Lloyd Bridges', 'Billy Burke']"
26,Momentum,I 2015,96,5.5,18,"16,202",*****,Four criminals steal diamonds from a safe-deposit box in Cape Town00including a drive containing a US senator's evil plans. He'll do anything to get it back from Alexis Olga Kurylenko.,Stephen S. Campanelli,"['Olga Kurylenko', 'James Purefoy', 'Morgan Freeman', 'Greg Kriek']"
27,Cube 2: Hypercube,2002,94,5.5,^^^^^^,"68,011",*****,"Eight strangers awaken with no memory, in a puzzling cube-shaped room where the laws of physics do not always apply.",Andrzej Sekula,"['Kari Matchett', 'Geraint Wyn Davies', 'Grace Lynn Kung', 'Matthew Ferguson']"
28,In Dreams,1999,100,5.5,^^^^^^,"13,233",$12.02M,"A suburban housewife learns that she has a dreamworld connection to a serial murderer, and must stop him from killing again.",Neil Jordan,"['Annette Bening', 'Robert Downey Jr.', 'Katie Sagona', 'Aidan Quinn']"
29,The Little Stranger,2018,111,5.5,67,"10,221",$0.71M,"After a doctor is called to visit a crumbling manor, strange things begin to occur.",Lenny Abrahamson,"['Domhnall Gleeson', 'Will Poulter', 'Ruth Wilson', 'Liv Hill']"
30,Ninja,2009,86,5.5,^^^^^^,"13,451",*****,"A westerner named Casey, studying Ninjutsu in Japan, is asked by the Sensei to return to New York to protect the legendary Yoroi Bitsu, an armored chest that contains the weapons of the last Koga Ninja.",Isaac Florentine,"['Scott Adkins', 'Tsuyoshi Ihara', 'Mika Hijii', 'Todd Jensen']"
31,Tales of Halloween,2015,97,5.5,64,"13,385",*****,"Ten stories are woven together by their shared theme of Halloween night in an American suburb, where ghouls, imps, aliens and axe murderers appear for one night only to terrorize unsuspecting residents.","Directors:Darren Lynn Bousman, Axelle Carolyn, Adam Gierasch, Andrew Kasch, Neil Marshall, Lucky McKee, Mike Mendez, Dave Parker, Ryan Schifrin, John Skipp, Paul Solet","['Adrienne Barbeau', 'Hunter Smit', 'Cameron Easton', 'Caroline Williams']"
32,Wildling,2018,92,5.5,58,"14,000",*****,A blossoming teenager uncovers the dark secret behind her traumatic childhood.,Fritz Böhm,"['Bel Powley', 'Brad Dourif', 'Liv Tyler', 'Collin Kelly-Sordelet']"
33,Renegades,2017,106,5.5,33,"10,236",*****,A team of Navy SEALs discover an underwater treasure in a Bosnian lake.,Steven Quale,"['J.K. Simmons', 'Sullivan Stapleton', 'Charlie Bewley', 'Sylvia Hoeks']"
34,Don't Hang Up,2016,83,5.5,^^^^^^,"15,451",*****,"An evening of drunken prank calls becomes a nightmare for two teenagers when a stranger turns their own game against them, with deadly consequences.","Directors:Damien Macé, Alexis Wajsbrot","['Gregg Sulkin', 'Garrett Clayton', 'Bella Dayne', 'Sienna Guillory']"
35,Casa de mi Padre,2012,85,5.5,52,"21,219",$5.90M,"Scheming to save their father's ranch, the Alvarez brothers find themselves in a war with Mexico's most feared drug lord.",Matt Piedmont,"['Will Ferrell', 'Gael García Bernal', 'Diego Luna', 'Nick Offerman']"
36,City Heat,1984,93,5.5,39,"10,167",$38.35M,"Slick Private Investigator Mike Murphy (Burt Reynolds) and tough Police Lieutenant Speer (Clint Eastwood), once partners, now bitter enemies, reluctantly team up to investigate a murder.",Richard Benjamin,"['Clint Eastwood', 'Burt Reynolds', 'Jane Alexander', 'Madeline Kahn']"
37,Legionnaire,1998,99,5.5,^^^^^^,"24,552",*****,"Alain is a boxer in 1925 Marseille, France. When he doesn't take the dive paid to take by a mob boss, he has to split. He joins the Foreign Legion and is sent to Morocco. He makes 3 friends and they watch each other's backs.",Peter MacDonald,"['Jean-Claude Van Damme', 'Adewale Akinnuoye-Agbaje', 'Steven Berkoff', 'Nicholas Farrell']"
38,Rock the Kasbah,2015,106,5.5,29,"12,361",$2.98M,"A down-on-his-luck music manager discovers a teenage girl with an extraordinary voice while on a music tour in Afghanistan and takes her to Kabul to compete on the popular television show, Afghan Star.",Barry Levinson,"['Bill Murray', 'Leem Lubany', 'Zooey Deschanel', 'Bruce Willis']"
39,Terminal Velocity,1994,102,5.5,^^^^^^,"14,118",$16.48M,A maverick skydiver and a former KGB agent team up to stop the Russian mafia from stealing gold.,Deran Sarafian,"['Charlie Sheen', 'Nastassja Kinski', 'James Gandolfini', 'Christopher McDonald']"
40,High School High,1996,86,5.5,33,"13,674",$20.95M,"Richard Clark has just left the well-known Wellington Academy to teach at Marion Barry High School. Now, he will try to inspire the D-average students into making good grades and try to woo a fellow teacher.",Hart Bochner,"['Jon Lovitz', 'Tia Carrere', 'Louise Fletcher', 'Mekhi Phifer']"
41,Good People,2014,90,5.5,42,"16,732",*****,"Discovering a stash of cash in their dead tenant's apartment, a couple in debt take the money and find themselves the target of a deadly adversary - the thief who stole it.",Henrik Ruben Genz,"['James Franco', 'Kate Hudson', 'Tom Wilkinson', 'Omar Sy']"
42,The Great White Hype,1996,91,5.5,^^^^^^,"10,380",$7.87M,"The boxing champ's promoter thinks, change is needed. He finds the one man who's beaten his black champ (at 17), a white man now in a rock band. Like Rocky, he trains heavily whereas the champ slacks.",Reginald Hudlin,"['Samuel L. Jackson', 'Jeff Goldblum', 'Damon Wayans', 'Peter Berg']"
43,Taxi 4,2007,91,5.5,^^^^^^,"29,172",*****,"Daniel, the driver of a very special taxi in Marseille, gets a famous soccer player to the stadium in time and later helps his clumsy police friend Émilien catch the dangerous Belgian after he escaped on Émilien's guard.",Gérard Krawczyk,"['Samy Naceri', 'Frédéric Diefenthal', 'Bernard Farcy', 'Emma Wiklund']"
44,"War, Inc.",2008,107,5.5,37,"22,158",$0.58M,"A corporation hires a professional assassin to pose as its trade show representative who must organize the wedding of a Middle Eastern pop star, which will allow him the opportunity to kill a Middle Eastern politician.",Joshua Seftel,"['John Cusack', 'Marisa Tomei', 'Hilary Duff', 'Joan Cusack']"
45,Gabriel,2007,114,5.5,^^^^^^,"14,047",*****,Gabriel the archangel fights to bring light back to purgatory - a place where darkness rules - and save the souls of the city's inhabitants.,Shane Abbess,"['Andy Whitfield', 'Dwaine Stevenson', 'Samantha Noble', 'Michael Piccirilli']"
46,I'll Be Home for Christmas,1998,86,5.5,^^^^^^,"11,156",$12.21M,"A college student faces an impossible journey when he is left stranded in the desert, thousands of miles from home, with no money and only a few days left until Christmas.",Arlene Sanford,"['Jonathan Taylor Thomas', 'Jessica Biel', 'Adam LaVorgna', 'Gary Cole']"
47,Joe Somebody,2001,98,5.5,42,"10,743",$22.77M,"When Joe is beat up by a co-worker in front of his daughter on ""Bring Your Child To Work Day"", he decides to fight back.",John Pasquin,"['Tim Allen', 'Julie Bowen', 'Kelly Lynch', 'Greg Germann']"
48,Housefull,2010,144,5.5,^^^^^^,"14,743",$1.17M,"Believing himself to be jinxed, a man attempts to find true love, but instead gets caught in a web of lies.",Sajid Khan,"['Akshay Kumar', 'Deepika Padukone', 'Riteish Deshmukh', 'Lara Dutta']"
