,Name of movie,Year of relase,Watchtime,Movie Rating,Metascore,Votes,Gross collection,Description,Director,Star
42,The Dead Zone,1983,103,7.2,69,"71,904",$20.77M,A man awakens from a coma to discover he has a psychic ability.,David Cronenberg,"['Christopher Walken', 'Brooke Adams', 'Tom Skerritt', 'Herbert Lom']"
43,Dolemite Is My Name,2019,118,7.2,76,"61,898",*****,"Eddie Murphy portrays real-life legend Rudy Ray Moore, a comedy and rap pioneer who proved naysayers wrong when his hilarious, obscene, kung-fu fighting alter ego, Dolemite, became a 1970s Blaxploitation phenomenon.",Craig Brewer,"['Eddie Murphy', 'Keegan-Michael Key', 'Mike Epps', 'Craig Robinson']"
44,In the Line of Fire,1993,128,7.2,74,"1,06,050",$102.31M,"Secret Service agent Frank Horrigan couldn't save Kennedy, but he's determined not to let a clever assassin take out this president.",Wolfgang Petersen,"['Clint Eastwood', 'John Malkovich', 'Rene Russo', 'Dylan McDermott']"
45,Anthropoid,2016,120,7.2,59,"49,945",$2.96M,"Based on the extraordinary true story of Operation Anthropoid, the WWII mission to assassinate SS General Reinhard Heydrich, the main architect behind the Final Solution and the Reich's third in command after Hitler and Himmler.",Sean Ellis,"['Jamie Dornan', 'Cillian Murphy', 'Brian Caspe', 'Karel Hermánek Jr.']"
46,Muriel's Wedding,1994,106,7.2,63,"39,804",$15.19M,"A young social outcast in Australia steals money from her parents to finance a vacation where she hopes to find happiness, and perhaps love.",P.J. Hogan,"['Toni Collette', 'Rachel Griffiths', 'Bill Hunter', 'Sophie Lee']"
47,The Best Exotic Marigold Hotel,2011,124,7.2,62,"96,549",$46.41M,"British retirees travel to India to take up residence in what they believe is a newly restored hotel. Less luxurious than advertised, the Marigold Hotel nevertheless slowly begins to charm in unexpected ways.",John Madden,"['Judi Dench', 'Bill Nighy', 'Maggie Smith', 'Tom Wilkinson']"
48,Wish Dragon,2021,98,7.2,59,"28,193",*****,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,Chris Appelhans,"['Jimmy Wong', 'John Cho', 'Constance Wu', 'Natasha Liu Bordizzo']"
49,Dead Ringers,1988,116,7.2,86,"48,793",$9.13M,"Twin gynecologists take full advantage of the fact that nobody can tell them apart, until their relationship begins to deteriorate over a woman.",David Cronenberg,"['Jeremy Irons', 'Geneviève Bujold', 'Heidi von Palleske', 'Barbara Gordon']"
0,Chasing Amy,1997,113,7.2,71,"1,39,678",$12.02M,"Holden and Banky are comic book artists. Everything's going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian.",Kevin Smith,"['Ben Affleck', 'Joey Lauren Adams', 'Ethan Suplee', 'Scott Mosier']"
1,Frailty,2001,100,7.2,64,"85,502",$13.10M,"A mysterious man arrives at the offices of an FBI agent and recounts his childhood: how his religious fanatic father received visions telling him to destroy people who were in fact ""demons.""",Bill Paxton,"['Bill Paxton', 'Matthew McConaughey', 'Powers Boothe', ""Matt O'Leary""]"
2,Harry Brown,2009,103,7.2,55,"88,758",$1.82M,An elderly ex-serviceman and widower looks to avenge his best friend's murder by doling out his own form of justice.,Daniel Barber,"['Michael Caine', 'Emily Mortimer', 'David Bradley', 'Charlie Creed-Miles']"
3,Stuck in Love,2012,97,7.2,49,"88,963",$0.08M,"An acclaimed writer, his ex-wife, and their teenaged children come to terms with the complexities of love in all its forms over the course of one tumultuous year.",Josh Boone,"['Greg Kinnear', 'Jennifer Connelly', 'Lily Collins', 'Nat Wolff']"
4,Django,1966,91,7.2,75,"28,738",$0.03M,A coffin-dragging gunslinger and a prostitute become embroiled in a bitter feud between a Klan of Southern racists and a band of Mexican Revolutionaries.,Sergio Corbucci,"['Franco Nero', 'José Canalejas', 'José Bódalo', 'Loredana Nusciak']"
5,Somewhere in Time,1980,103,7.2,29,"30,270",$9.71M,A Chicago playwright uses self-hypnosis to travel back in time and meet the actress whose vintage portrait hangs in a grand hotel.,Jeannot Szwarc,"['Christopher Reeve', 'Jane Seymour', 'Christopher Plummer', 'Teresa Wright']"
6,El Topo,1970,125,7.2,65,"29,900",$0.04M,A mysterious black-clad gunfighter wanders a mystical Western landscape encountering multiple bizarre characters.,Alejandro Jodorowsky,"['Alejandro Jodorowsky', 'Brontis Jodorowsky', 'José Legarreta', 'Alfonso Arau']"
7,Candy,2006,108,7.2,57,"46,312",$0.04M,"A poet falls in love with an art student who gravitates to his bohemian lifestyle -- and his love of heroin. Hooked as much on one another as they are on the drug, their relationship alternates between states of oblivion, self-destruction, and despair.",Neil Armfield,"['Heath Ledger', 'Abbie Cornish', 'Geoffrey Rush', 'Tom Budge']"
